位置,檔案名稱,檔案種類,Key,English(en),Chinese (Traditional)(zh-Hant),Chinese (Simplified)(zh-Hans),Thai(th)
Loading畫面,,按鍵,Btn_Continue,Continue,繼續,继续,ดำเนินการต่อ
Loading畫面,,波動性,Loading_Volatility,Volatility,波動性,波动性,ความผันผวน
獎勵彈窗,,內文,Continue_Hint,Press anywhere to continue.,點擊任一處繼續,点击任一处继续,แตะที่ใดก็ได้เพื่อดำเนินการต่อ
主遊戲共用,,按鍵,Btn_Off,OFF,關,关,ปิด
主遊戲共用,,按鍵,Btn_On,ON,開,开,เปิด
確認視窗共用,,按鍵,Btn_Cancel,Cancel,取消,取消,ยกเลิก
確認視窗共用,,按鍵,Btn_Start,Start,開始,开始,เริ่มต้น
確認視窗共用,,按鍵,Btn_Confirm,Confirm,確認,确认,ยืนยัน
Auto Setting視窗,,選項標題,Auto_Stop_FG,"Stop if "" Free Game "" is activated",觸發「免費遊戲」，則停止自動下注,触发“免费游戏”，则停止自动下注,"หยุดอัตโนมัติเมื่อเข้าสู่ ""ฟรีเกม"""
Auto Setting視窗,,視窗標題,Auto_Setting,AutoSpin Setting,自動旋轉設定,自动旋转设定,ตั้งค่า หมุนอัตโนมัติ
Buy Bonus視窗,,視窗標題,Buy_BuyBonus,BUY BONUS,購買獎勵,购买奖励,ซื้อโบนัส
Buy Bonus視窗,,內文,Buy_Bet,BET,押注,押注,เดิมพัน
Buy Bonus視窗,,選項標題,Buy_FreeSpins,FREE SPINS,免費旋轉,免费旋转,ฟรีสปิน
Buy Bonus視窗,,選項標題,Buy_SuperFreeSpins,SUPER FREE SPINS,超級免費旋轉,超级免费旋转,ซุปเปอร์ฟรีสปิน
Buy Bonus視窗,,按鍵,Btn_Buy,BUY,購買,购买,ซื้อ
Buy Bonus種類,,內文,Buy_Name,BUY FREE SPINS,購買免費遊戲功能,购买免费游戏功能,ซื้อฟรีสปิน
Buy Bonus種類,,內文,Buy_NameSuper,BUY SUPER FREE SPINS,購買超級免費遊戲功能,购买超级免费游戏功能,ซื้อซูเปอร์ฟรีสปิน
Buy Bonus視窗,,內文,Buy_Costs,This Bonus costs,免費遊戲需花費,免费游戏需花费,โบนัสนี้มีค่าใช้จ่าย
INFO_共用操作,,大標題,Info_HowToPlay,How to Play,遊戲玩法,游戏玩法,วิธีการเล่น
INFO_共用操作,,小標題,Info_Spin,Spin,旋轉,旋转,หมุน
INFO_共用操作,,內文,Info_Spin_1,Click / tap to start at the current Bet.,輕觸以目前下注額開始。,轻触以当前下注额开始。,คลิกหรือนิ้วแตะเพื่อเริ่มเกมด้วยจำนวน เดิมพัน ปัจจุบัน
INFO_共用操作,,內文,Info_Spin_2,Click / tap the button or the game area during a spin stop to stop the reels.,在旋轉過程中，輕觸按鈕或遊戲區域來停止。,在旋转过程中，轻触按钮或游戏区域来停止。,คลิกหรือนิ้วแตะที่ปุ่มหรือพื้นที่เกมระหว่างการหมุนเพื่อหยุดวงล้อ
INFO_共用操作,,小標題,Info_Stop,Stop,停止,停止,หยุด
INFO_共用操作,,內文,Info_Stop_1,Click / tap to stop normal Spin or Auto Spin. The number on the button indicates the remaining number of spins for Auto Spin.,輕觸以停止自動旋轉。按鈕上的數字表示...,轻触以停止自动旋转。按钮上的数字表示...,คลิกหรือนิ้วแตะเพื่อหยุดการหมุนปกติหรือการหมุนอัตโนมัติ ตัวเลขบนปุ่มจะแสดงจำนวนครั้งที่เหลือของการหมุนอัตโนมัติ
INFO_共用操作,,小標題,Info_SpaceBar,Space Bar,空白鍵,空格键,ปุ่มเว้นวรรค
INFO_共用操作,,內文,Info_SpaceBar_1,"Click to start at the current Bet.
Click the button or the game area during a spin stop to stop the reels.
Click during a spin to stop the normal Spin or Auto Spin. The number on the button indicates the remaining Auto Spins.",當遊戲在旋轉中時，點擊可停止一般旋轉或自動旋轉。按鈕上的數字表示自動旋轉剩餘的次數。,当游戏在旋转中时，点击可停止一般旋转或自动旋转。按钮上的数字表示自动旋转剩余的次数。,"คลิกเพื่อเริ่มเกมด้วยจำนวน เดิมพัน ปัจจุบัน
คลิกที่ปุ่มหรือพื้นที่เกมระหว่างการหมุนเพื่อหยุดวงล้อ
คลิกระหว่างการหมุนเพื่อหยุดการ หมุน ปกติหรือการ หมุนอัตโนมัติ ตัวเลขบนปุ่มจะแสดงจำนวนครั้งที่เหลือของการ หมุนอัตโนมัติ"
INFO_共用操作,,小標題,Info_Wallet,Balance,錢包餘額,钱包余额,ยอดเงินคงเหลือ
INFO_共用操作,,內文,Info_Wallet_1,"Your current balance is shown in the BALANCE display. 
Balance, bets and winnings are presented in the player's chosen currency.","您的目前餘額顯示在「餘額」頁面。
餘額、投注額和獎金均以玩家選擇的貨幣顯示。","您的目前余额显示在「余额」页面。
余额、投注额和奖金均以玩家选择的货币显示。","ยอดเงินคงเหลือปัจจุบันของคุณจะแสดงอยู่ในช่อง ยอดเงินคงเหลือ 
ยอดเงินคงเหลือ การเดิมพัน และเงินรางวัล จะแสดงในสกุลเงินที่ผู้เล่นเลือกไว้"
INFO_共用操作,,小標題,Info_Bet,Bet Amount,下注金額,下注金额,จำนวนเดิมพัน
INFO_共用操作,,內文,Info_Bet_1,"Click / tap to display the Bet Options.
The current bet level is shown in the BET display. 
Change the bet by clicking on the arrows and choosing the bet level of your choice.",輕觸以顯示下注選項。,轻触以显示下注选项。,"คลิกหรือนิ้วแตะเพื่อแสดงตัวเลือกการเดิมพัน
ระดับการเดิมพันปัจจุบันจะแสดงอยู่ในช่อง เดิมพัน 
เปลี่ยนจำนวนเดิมพันได้โดยการคลิกที่ลูกศร แล้วเลือกระดับการเดิมพันที่คุณต้องการ"
INFO_共用操作,,小標題,Info_AutoSpin,Auto Spin,自動旋轉,自动旋转,หมุนอัตโนมัติ
INFO_共用操作,,內文,Info_AutoSpin_1,Auto Spin automatically plays the game for a selected number of spins.,自動旋轉會按照選定的次數自動進行遊戲。,自动旋转会按照选定的次数自动进行游戏。,หมุนอัตโนมัติจะเล่นเกมโดยอัตโนมัติตามจำนวนรอบที่เลือกไว้
INFO_共用操作,,內文,Info_AutoSpin_2,Click / tap on the values to select number of Auto Spins.,輕觸數字以選擇自動旋轉的次數。,轻触数字以选择自动旋转的次数。,คลิกหรือนิ้วแตะที่ค่าตัวเลขเพื่อเลือกจำนวนการหมุนอัตโนมัติ
INFO_共用操作,,小標題,Info_Rules,Rules,規則,规则,กฎกติกา
INFO_共用操作,,內文,Info_Rules_1,Click / tap to show winning combinations and paytable.,顯示中獎組合與賠付表。,显示中奖组合与赔付表。,คลิกหรือนิ้วแตะเพื่อแสดงชุดสัญลักษณ์ที่ชนะและตารางการจ่ายเงิน
INFO_共用操作,,內文,Info_Rules_2,Click / tap to show the game rules and button functions.,顯示遊戲規則與按鈕功能。,显示游戏规则与按钮功能。,คลิกหรือนิ้วแตะเพื่อแสดงกติกาเกมและการทำงานของปุ่มต่าง ๆ
INFO_共用操作,,小標題,Info_MoreSetting,More Settings,更多設定,更多设置,การตั้งค่าเพิ่มเติม
INFO_共用操作,,內文,Info_MoreSetting_1,Click / tap to access additional settings.,輕觸以存取其他設定。,轻触以访问其他设置。,คลิกหรือนิ้วแตะเพื่อเข้าสู่การตั้งค่าเพิ่มเติม
INFO_共用操作,,小標題,Info_Home,Home,主頁,主页,หน้าหลัก
INFO_共用操作,,內文,Info_Home_1,Click / tap to back the lobby.,輕觸以返回大廳。,轻触以返回大厅。,คลิกหรือนิ้วแตะเพื่อกลับไปยังล็อบบี้
INFO_共用操作,,小標題,Info_Turbo,Turbo Spin,加速旋轉,加速旋转,โหมดเทอร์โบ
INFO_共用操作,,內文,Info_Turbo_1,Click / tap to enable or disable the Turbo Spin to reduce the duration of reel spins in the main game.,輕觸以啟用或禁用加速旋轉，以縮短時間。,轻触以启用或禁用加速旋转，以缩短时间。,คลิกหรือนิ้วแตะเพื่อเปิดหรือปิด โหมดเทอร์โบ เพื่อลดระยะเวลาการหมุนของวงล้อในเกมหลัก
INFO_共用操作,,小標題,Info_Sound,Sound,聲音,声音,เสียง
