位置,檔案名稱,檔案種類,Key,English(en),Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),Thai(th)
Loading畫面,,內文,Loading_1,FREE SPINS WITH UNLIMITED MULTIPLIERS.,免費遊戲期間倍數無上限持續疊加,,ฟรีสปินพร้อมตัวคูณไม่จำกัด
Loading畫面,,內文,Loading_2,"WIN UP TO 10,000X BET","獲得超過下注金額 10,000 倍的獎金",,"ชนะได้มากกว่า 10,000 เท่าของเงินเดิมพัน!"
Buy Bonus視窗,,內文,Buy_Bet,BET,押注,,เดิมพัน
Buy Bonus視窗,,內文,Buy_Free,All multipliers in the free spins will start from x2,免費旋轉中的所有倍數將從 x2 開始,,ตัวคูณทั้งหมดในฟรีสปินเริ่มต้นที่ x2
Info畫面,,大標題,Info_GameRule,GAME RULES,遊戲規則,,กติกาเกม
Info畫面,,內文,Info_GameRule_1,"This is a slot machine with 6 reels and 5 rows, with additional reels above Reels 2 through 5, offering up to 32400 ways to win. 
Players will place bets for a random number of winning Ways on each spin.","此遊戲為 6 輪 5 列，並在第 2 至第 5 輪上方有額外輪軸，提供最多 32,400 種贏法
每次旋轉時，投注後會隨機產生可贏方式的數量",,"เกมสล็อตนี้มี 6 รีล 5 แถว พร้อมวงล้อพิเศษด้านบนรีลที่ 2 ถึง 5 มอบโอกาสชนะได้มากถึง 32,400 วิธี
ผู้เล่นจะวางเดิมพันเพื่อรับจำนวนวิธีชนะที่สุ่มในแต่ละการหมุน"
Info畫面,,內文,Info_GameRule_2,"This is the SCATTER symbol.
SCATTER symbol is present on all reels.","這是 SCATTER 符號
SCATTER 符號可出現在所有輪軸上",,"นี่คือสัญลักษณ์ สแคตเตอร์ขึ้นไป
สัญลักษณ์ สแคตเตอร์ขึ้นไป สามารถปรากฏบนทุกวงล้อ"
Info畫面,,大標題,Info_Cascading,CASCADING REELS,下落式輪軸機制,,วงล้อแบบร่วงหล่น
Info畫面,,內文,Info_Cascading_1,"After each spin, all winning symbols will be removed. 
The remaining symbols on reels 1 through 6 will cascade to the bottom of the screen. 
Empty spaces will be filled by new symbols falling from above. 
On reels 2 through 5, the extra reels above will drop new symbols from right to left to fill the empty spaces. 
Each new symbol will occupy one symbol space. 
This process continues until no more winning combinations appear. 
All winnings will be awarded to the player after all consecutive cascades are completed.","每輪旋轉結束後，所有中獎圖案將被移除
1 至 6 輪上的剩餘符號會向下掉落到底部
空白處將由上方掉落的新符號補滿
第 2 到第 5 輪的上方輪軸會從右至左補入新符號
每個新掉落符號只佔 1 格空間
此流程會持續直到不再產生中獎組合為止
所有連續掉落結束後，獎金將一次性發給玩家",,"หลังจากการหมุน สัญลักษณ์ที่ชนะทั้งหมดจะถูกลบออก
สัญลักษณ์ที่เหลือในรีลที่ 1 ถึง 6 จะร่วงลงด้านล่างของหน้าจอ
ช่องว่างจะถูกเติมเต็มด้วยสัญลักษณ์ใหม่ที่ตกลงมาจากด้านบน
สำหรับรีลที่ 2 ถึง 5 วงล้อพิเศษด้านบนจะปล่อยสัญลักษณ์จากขวาไปซ้ายเพื่อเติมช่องว่าง
สัญลักษณ์ใหม่แต่ละอันจะใช้พื้นที่ 1 ช่อง
กระบวนการนี้จะดำเนินต่อไปจนกว่าจะไม่มีชุดค่าผสมที่ชนะอีก
รางวัลทั้งหมดจะจ่ายให้ผู้เล่นหลังจากการร่วงหล่นทั้งหมดสิ้นสุด"
Info畫面,,內文,Info_Cascading_2,"In any spin, symbols on Reels 2, 3, 4, and 5 (including Wild and Scatter symbols) may occupy 1 to 4 symbol spaces, and each of these symbols will be counted as a single symbol for payout calculations.
From left to right, these are symbols that occupy 1 to 4 symbol spaces.","第 2 至第 5 輪（含 WILD、SCATTER）圖案可能佔據 1 至 4 格空間
不論大小，每個圖案都視為 1 個單位進行計算
左至右顯示的為佔據 1~4 格的圖案",,"ในทุกการหมุน สัญลักษณ์ในรีลที่ 2, 3, 4 และ 5 (รวมถึงไวลด์และสแคตเตอร์) อาจครอบคลุม 1 ถึง 4 ช่อง
และจะนับเป็นสัญลักษณ์เดียวในการคำนวณการจ่ายเงิน
จากซ้ายไปขวา สัญลักษณ์เหล่านี้จะครอบคลุม 1 ถึง 4 ช่อง"
Info畫面,,內文,Info_Cascading_3,"In the base game, the initial multiplier starts at X1. 
On the first cascade, the multiplier is x1; on the second cascade, the multiplier becomes x2, and continues to increase with each subsequent cascade, up to a maximum of x4.
The multiplier resets every time the reels refresh.","主遊戲倍數從 x1 起，每次連擊提高，最多 x4
每次轉輪刷新時倍數會重置",,"ในเกมหลัก ตัวคูณเริ่มต้นที่ x1 และเพิ่มขึ้นจนถึงสูงสุดที่ x4
ตัวคูณจะรีเซ็ตทุกครั้งที่เริ่มหมุนใหม่"
Info畫面,,內文,Info_Cascading_4,"In the free game, the initial multiplier starts at X2. 
On the first cascade, the multiplier is x2; on the second cascade, the multiplier becomes x3, and continues to increase with each cascade. 
In the free game, the multiplier does not reset and keeps accumulating until the end of the free spins.","免費遊戲倍數從 x2 起並可持續累積直到遊戲結束
倍數在免費遊戲中不會重置，直到回合結束",,"ในเกมฟรี ตัวคูณเริ่มที่ x2 และสะสมต่อเนื่องจนจบฟรีสปิน
ตัวคูณจะไม่ถูกรีเซ็ตจนกว่าฟรีสปินจะจบ"
Info畫面,,大標題,Info_Gold,GOLDEN WILD SYMBOL,黃金 WILD 符號,,สัญลักษณ์ไวลด์ทองคำ
Info畫面,,內文,Info_Gold_1,"During any spin, when a winning combination includes a Golden Frame Wild symbol, it will transform into a Wild symbol and drop down.",若中獎符號中含金框 WILD，將轉化為 WILD 並下落,,ระหว่างการหมุน หากชุดที่ชนะมีสัญลักษณ์ไวลด์กรอบทอง
Info畫面,,大標題,Info_FreeGame,FREE GAME RULE,免費遊戲規則,,กติกาเกมฟรี
